title,address,price,duzenle,m2,rooms,furnished
Apartment IJsclubstraat 21 B,3061 GR Rotterdam (Kralingen West),"€1,100 per month",104 m²/2 rooms/Furnished,104 m²,2 rooms,Furnished
Apartment Meeuwenstraat 8 D,3071 PE Rotterdam (Noordereiland),"€1,500 per month",73 m²/3 rooms/Upholstered,73 m²,3 rooms,Upholstered
Apartment Tapuitstraat,3083 WV Rotterdam (Carnisse),"€1,600 per month",84 m²/4 rooms/1945-1959,84 m²,4 rooms,1945-1959
Apartment Noorderhavenkade 11 a2,3039 RC Rotterdam (Blijdorp),"€1,400 per month",90 m²/2 rooms/Furnished,90 m²,2 rooms,Furnished
Apartment Spanjaardstraat,3025 TM Rotterdam (Bospolder),"€1,795 per month",130 m²/3 rooms/Upholstered,130 m²,3 rooms,Upholstered
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€2,495 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Klaverstraat 132 A,3083 VN Rotterdam (Carnisse),"€1,125 per month",61 m²/3 rooms/Upholstered,61 m²,3 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment 's-Gravendijkwal,3014 EK Rotterdam (Oude Westen),"€2,100 per month",75 m²/3 rooms/Furnished,75 m²,3 rooms,Furnished
Apartment Houtlaan 34 A,3016 DA Rotterdam (Nieuwe Werk),"€2,700 per month",123 m²/3 rooms/Upholstered or furnished,123 m²,3 rooms,Upholstered or furnished
Apartment Toutenburgplantsoen,3077 PP Rotterdam (Beverwaard),"€1,650 per month",74 m²/3 rooms/Furnished,74 m²,3 rooms,Furnished
Apartment Tandwielstraat 773,3083 AV Rotterdam (Vreewijk),€682 per month,24 m²/1 room/Furnished,24 m²,1 room,Furnished
Apartment Tandwielstraat 141,3083 AV Rotterdam (Vreewijk),€731 per month,33 m²/1 room/Upholstered,33 m²,1 room,Upholstered
Apartment Müllerkade,3024 EP Rotterdam (Schiemond),"€2,250 per month",108 m²/3 rooms/Furnished,108 m²,3 rooms,Furnished
Apartment Wijnhaven,3011 WJ Rotterdam (Stadsdriehoek),"€1,395 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Sternstraat,3083 ZS Rotterdam (Carnisse),"€1,025 per month",52 m²/3 rooms/Furnished,52 m²,3 rooms,Furnished
Apartment Wijnhaven,3011 WK Rotterdam (Stadsdriehoek),"€2,195 per month",111 m²/4 rooms/Upholstered,111 m²,4 rooms,Upholstered
Apartment Deensestraat 45 B,3028 GC Rotterdam (Oud Mathenesse),"€1,095 per month",53 m²/3 rooms/1938,53 m²,3 rooms,1938
Apartment Belgischestraat,3028 TB Rotterdam (Oud Mathenesse),€595 per month,45 m²/3 rooms/Shell,45 m²,3 rooms,Shell
Studio Maaskade,3071 NA Rotterdam (Noordereiland),€650 per month,14 m²/1 room/Upholstered,14 m²,1 room,Upholstered
Apartment Gordelweg,3036 AA Rotterdam (Oude Noorden),"€1,495 per month",66 m²/4 rooms/Upholstered,66 m²,4 rooms,Upholstered
Apartment Schiedamsedijk,3011 EH Rotterdam (Stadsdriehoek),"€1,450 per month",75 m²/3 rooms/Furnished,75 m²,3 rooms,Furnished
Apartment Graaf Florisstraat,3021 CM Rotterdam (Middelland),"€2,250 per month",158 m²/4 rooms/Upholstered,158 m²,4 rooms,Upholstered
Apartment Louise de Colignylaan,3062 HC Rotterdam (Kralingen Oost),"€1,495 per month",94 m²/3 rooms/Upholstered,94 m²,3 rooms,Upholstered
Apartment Schepenstraat,3039 NE Rotterdam (Blijdorp),"€1,695 per month",102 m²/4 rooms/Furnished,102 m²,4 rooms,Furnished
Apartment Bergselaan 202 A,3037 CL Rotterdam (Liskwartier),"€1,800 per month",106 m²/3 rooms/Furnished,106 m²,3 rooms,Furnished
Apartment Jufferstraat,3011 XL Rotterdam (Stadsdriehoek),"€2,590 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
House Zwaerdecroonstraat,3021 WV Rotterdam (Middelland),"€2,775 per month",180 m²/5 rooms/Furnished,180 m²,5 rooms,Furnished
Apartment Dorpsweg,3082 LA Rotterdam (Oud Charlois),"€1,300 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Gladiolusstraat,3051 LE Rotterdam (Hillegersberg Zuid),"€1,350 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Mauritsstraat,3012 CJ Rotterdam (Cool),"€1,195 per month",51 m²/3 rooms/Upholstered,51 m²,3 rooms,Upholstered
Apartment Laan op Zuid 674,3071 AB Rotterdam (Kop van Zuid - Entrepot),"€1,750 per month",95 m²/4 rooms/Upholstered or furnished,95 m²,4 rooms,Upholstered or furnished
Apartment Dordtsestraatweg,3075 BE Rotterdam (Vreewijk),"€1,350 per month",81 m²/3 rooms/Furnished,81 m²,3 rooms,Furnished
Apartment Slaak,3061 CZ Rotterdam (Kralingen West),"€1,995 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
House Plasoord 3 A,3054 LJ Rotterdam (Hillegersberg Noord),"€2,995 per month",158 m²/7 rooms/31 m²,158 m²,7 rooms,31 m²
Apartment Gladiolusstraat,3051 LE Rotterdam (Hillegersberg Zuid),"€1,350 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Brede Hilledijk,3072 NK Rotterdam (Katendrecht),"€1,378 per month",97 m²/3 rooms/2020,97 m²,3 rooms,2020
Apartment Brede Hilledijk,3072 NK Rotterdam (Katendrecht),"€1,383 per month",103 m²/3 rooms/2020,103 m²,3 rooms,2020
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Lange Hilleweg,3073 BM Rotterdam (Bloemhof),"€1,425 per month",74 m²/3 rooms/Upholstered,74 m²,3 rooms,Upholstered
Apartment Kipstraat,3011 RS Rotterdam (Stadsdriehoek),"€1,500 per month",80 m²/3 rooms/2001-2010,80 m²,3 rooms,2001-2010
Apartment Walstroplein 39,3056 RL Rotterdam (Terbregge),"€1,800 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Akkermanstraat,3082 WB Rotterdam (Oud Charlois),"€1,200 per month",51 m²/3 rooms/1939,51 m²,3 rooms,1939
Apartment Willem van Hillegaersbergstraat,3051 RC Rotterdam (Hillegersberg Zuid),"€1,500 per month",87 m²/3 rooms/Upholstered,87 m²,3 rooms,Upholstered
House Spoorweghaven,3071 ZG Rotterdam (Kop van Zuid - Entrepot),"€4,250 per month",233 m²/6 rooms/Furnished,233 m²,6 rooms,Furnished
House 1e Jerichostraat 57 B,3061 GC Rotterdam (Kralingen West),"€2,500 per month",110 m²/4 rooms/Furnished,110 m²,4 rooms,Furnished
Apartment Beijerlandselaan,3074 EM Rotterdam (Hillesluis),"€1,650 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Fleringenstraat,3077 HE Rotterdam (Beverwaard),"€1,395 per month",73 m²/3 rooms/Upholstered,73 m²,3 rooms,Upholstered
Apartment Aelbrechtskade 133 A-02,3023 JG Rotterdam (Nieuwe Westen),"€1,225 per month",56 m²/2 rooms/Upholstered,56 m²,2 rooms,Upholstered
Apartment Mathenesserlaan 321 X,3021 HL Rotterdam (Middelland),"€1,850 per month",104 m²/3 rooms/Upholstered,104 m²,3 rooms,Upholstered
Apartment Ebenhaëzerstraat,3083 RC Rotterdam (Carnisse),"€1,395 per month",79 m²/3 rooms/Upholstered,79 m²,3 rooms,Upholstered
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€2,750 per month",72 m²/3 rooms/Upholstered or furnished,72 m²,3 rooms,Upholstered or furnished
Apartment Middellandplein,3021 BT Rotterdam (Middelland),"€2,500 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
Apartment Cornelis Heinricksestraat,3078 HH Rotterdam (Groot IJsselmonde),"€1,350 per month",69 m²/3 rooms/Shell,69 m²,3 rooms,Shell
Apartment Statenlaan,3051 HN Rotterdam (Hillegersberg Zuid),"€1,395 per month",75 m²/2 rooms/Shell,75 m²,2 rooms,Shell
Apartment Meeuwenstraat,3071 PE Rotterdam (Noordereiland),"€2,500 per month",74 m²/3 rooms/Furnished,74 m²,3 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,695 per month",60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Studio Tamboerstraat,3034 PW Rotterdam (Oud Crooswijk),€700 per month,40 m²/1 room/Upholstered,40 m²,1 room,Upholstered
Apartment Vredehofweg,3062 EP Rotterdam (Kralingen Oost),"€2,750 per month",145 m²/4 rooms/Upholstered,145 m²,4 rooms,Upholstered
Apartment Ien Daleshof,3066 KJ Rotterdam (Prinsenland),"€1,650 per month",109 m²/3 rooms/Upholstered,109 m²,3 rooms,Upholstered
Apartment Wijnhaven,3011 WJ Rotterdam (Stadsdriehoek),"€2,750 per month",123 m²/3 rooms/Upholstered,123 m²,3 rooms,Upholstered
House Berglustlaan 38 B,3054 BH Rotterdam (Hillegersberg Noord),"€1,995 per month",129 m²/5 rooms/1906-1930,129 m²,5 rooms,1906-1930
Apartment Boezemlaan,3034 XD Rotterdam (Nieuw Crooswijk),"€1,200 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Terbregselaan,3055 RG Rotterdam (Molenlaankwartier),"€1,500 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Wijnbrugstraat 345,3011 XW Rotterdam (Stadsdriehoek),"€2,500 per month",110 m²/3 rooms/Furnished,110 m²,3 rooms,Furnished
Apartment Zuidplein,3083 CX Rotterdam (Zuidplein),"€1,695 per month",85 m²/3 rooms/Furnished,85 m²,3 rooms,Furnished
House Rijsbes 27,3069 LZ Rotterdam (Ommoord),"€2,100 per month",134 m²/5 rooms/Upholstered,134 m²,5 rooms,Upholstered
Apartment Burgemeester Wijnaendtslaan,3042 CD Rotterdam (Kleinpolder),"€1,595 per month",85 m²/3 rooms/Upholstered,85 m²,3 rooms,Upholstered
Apartment West-Kruiskade,3014 AM Rotterdam (Oude Westen),"€1,250 per month",30 m²/2 rooms/Furnished,30 m²,2 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Zuidpolderstraat,3074 XT Rotterdam (Hillesluis),"€1,250 per month",50 m²/4 rooms/Furnished,50 m²,4 rooms,Furnished
Apartment Voorhaven,3025 HC Rotterdam (Delfshaven),"€1,850 per month",96 m²/2 rooms/Furnished,96 m²,2 rooms,Furnished
Apartment Jacques Dutilhweg,3065 JH Rotterdam ('s-Gravenland),"€1,455 per month",92 m²/3 rooms/Upholstered,92 m²,3 rooms,Upholstered
Apartment Goudsesingel,3031 EC Rotterdam (Rubroek),"€1,495 per month",70 m²/2 rooms/Upholstered or furnished,70 m²,2 rooms,Upholstered or furnished
House Spoorsingel,3033 GH Rotterdam (Provenierswijk),"€2,695 per month",139 m²/4 rooms/Furnished,139 m²,4 rooms,Furnished
Apartment Paetsstraat 13 c,3039 XM Rotterdam (Blijdorp),"€1,895 per month",109 m²/3 rooms/Furnished,109 m²,3 rooms,Furnished
Apartment Rodenrijselaan,3037 XE Rotterdam (Liskwartier),"€1,095 per month",61 m²/3 rooms/Upholstered,61 m²,3 rooms,Upholstered
Apartment Spoorsingel,3033 GK Rotterdam (Provenierswijk),"€2,250 per month",140 m²/4 rooms/Furnished,140 m²,4 rooms,Furnished
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,650 per month",76 m²/3 rooms/Upholstered,76 m²,3 rooms,Upholstered
Apartment Texelsestraat,3083 PT Rotterdam (Carnisse),€950 per month,47 m²/2 rooms/Upholstered,47 m²,2 rooms,Upholstered
Apartment Wijnhaven 69 D,3011 WJ Rotterdam (Stadsdriehoek),"€1,950 per month",90 m²/3 rooms/Upholstered,90 m²,3 rooms,Upholstered
Apartment Maaskade 97 C02,3071 NG Rotterdam (Noordereiland),"€1,400 per month",56 m²/2 rooms/Furnished,56 m²,2 rooms,Furnished
Apartment Kruisplein,3012 CC Rotterdam (Cool),"€1,950 per month",82 m²/3 rooms/Furnished,82 m²,3 rooms,Furnished
Apartment Laan op Zuid,3071 AB Rotterdam (Kop van Zuid - Entrepot),"€1,695 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Aleidisstraat 7 C,3021 SB Rotterdam (Middelland),"€1,425 per month",82 m²/1 room/2019,82 m²,1 room,2019
Apartment Wijnhaven 65 a19,3011 WJ Rotterdam (Stadsdriehoek),"€2,300 per month",95 m²/3 rooms/Upholstered,95 m²,3 rooms,Upholstered
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,850 per month",61 m²/2 rooms/Upholstered,61 m²,2 rooms,Upholstered
Apartment Ochterveltstraat 21 C,3015 XK Rotterdam (Oude Westen),"€1,690 per month",84 m²/3 rooms/Upholstered,84 m²,3 rooms,Upholstered
Apartment Cleyburchstraat 53 B,3039 DC Rotterdam (Blijdorp),"€1,180 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Halfrond,3071 PP Rotterdam (Kop van Zuid - Entrepot),"€1,595 per month",93 m²/3 rooms/Furnished,93 m²,3 rooms,Furnished
Apartment Wolphaertsbocht,3083 MR Rotterdam (Carnisse),"€1,075 per month",55 m²/2 rooms/Upholstered,55 m²,2 rooms,Upholstered
Room Mathenesserdijk 104 A,3027 AK Rotterdam (Spangen),€775 per month,13 m²/1 room/Furnished,13 m²,1 room,Furnished
House Tulastraat,3084 BZ Rotterdam (Zuiderpark),"€2,250 per month",159 m²/5 rooms/Upholstered,159 m²,5 rooms,Upholstered
Apartment Baan 52 c,3011 CC Rotterdam (Stadsdriehoek),"€4,500 per month",144 m²/4 rooms/Upholstered,144 m²,4 rooms,Upholstered
House Molenlaan,3055 EG Rotterdam (Molenlaankwartier),"€3,250 per month",138 m²/6 rooms/1921,138 m²,6 rooms,1921
Apartment Siciliëboulevard,3059 XT Rotterdam (Nesselande),"€2,495 per month",125 m²/4 rooms/Furnished,125 m²,4 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,650 per month",60 m²/2 rooms/84 m²,60 m²,2 rooms,84 m²
Apartment Vredehofstraat,3062 TC Rotterdam (Kralingen Oost),"€2,050 per month",97 m²/3 rooms/Upholstered,97 m²,3 rooms,Upholstered
Apartment Bredenoord,3079 JH Rotterdam (Groot IJsselmonde),€750 per month,55 m²/2 rooms/Upholstered,55 m²,2 rooms,Upholstered
Apartment Vredehofstraat,3062 TC Rotterdam (Kralingen Oost),"€2,295 per month",97 m²/3 rooms/Upholstered,97 m²,3 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Boompjes,3011 XZ Rotterdam (Stadsdriehoek),"€1,700 per month",77 m²/3 rooms/1988,77 m²,3 rooms,1988
Apartment Boompjes,3011 XZ Rotterdam (Stadsdriehoek),"€1,500 per month",58 m²/2 rooms/1988,58 m²,2 rooms,1988
Apartment Kipstraat 53 J,3011 ZX Rotterdam (Stadsdriehoek),"€1,275 per month",77 m²/3 rooms/2001,77 m²,3 rooms,2001
Apartment Maasboulevard,3011 TX Rotterdam (Stadsdriehoek),"€2,650 per month",112 m²/2 rooms/Furnished,112 m²,2 rooms,Furnished
Apartment Schiedamseweg,3026 AA Rotterdam (Tussendijken),"€1,650 per month",127 m²/5 rooms/Upholstered,127 m²,5 rooms,Upholstered
Apartment Houtlaan,3016 DA Rotterdam (Nieuwe Werk),"€4,600 per month",160 m²/4 rooms/Upholstered,160 m²,4 rooms,Upholstered
Apartment Beijerlandselaan,3074 EJ Rotterdam (Hillesluis),"€1,600 per month",107 m²/4 rooms/Upholstered,107 m²,4 rooms,Upholstered
Apartment Strevelsweg 96 b1,3075 AN Rotterdam (Vreewijk),€825 per month,60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Apartment De Vliegerstraat,3021 ZR Rotterdam (Middelland),"€2,400 per month",118 m²/3 rooms/Furnished,118 m²,3 rooms,Furnished
House Elfstedenstraat,3078 ZB Rotterdam (Groot IJsselmonde),"€2,295 per month",162 m²/5 rooms/Upholstered,162 m²,5 rooms,Upholstered
Apartment Philips Willemstraat 57 G,3051 PN Rotterdam (Hillegersberg Zuid),"€1,560 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Weena,3013 AL Rotterdam (Cs Kwartier),"€2,450 per month",131 m²/5 rooms/Furnished,131 m²,5 rooms,Furnished
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€1,860 per month",112 m²/3 rooms/Upholstered,112 m²,3 rooms,Upholstered
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Nieuwe Binnenweg,3014 GD Rotterdam (Oude Westen),"€2,250 per month",140 m²/3 rooms/Furnished,140 m²,3 rooms,Furnished
Apartment Lodewijk Pincoffsweg 464,3071 AS Rotterdam (Kop van Zuid - Entrepot),"€2,250 per month",93 m²/3 rooms/Furnished,93 m²,3 rooms,Furnished
Apartment Zonnebloemstraat,3051 ST Rotterdam (Hillegersberg Zuid),"€1,900 per month",101 m²/4 rooms/1938,101 m²,4 rooms,1938
Room Kortekade,3062 GL Rotterdam (Kralingen Oost),€810 per month,23 m²/1 room/Upholstered or furnished,23 m²,1 room,Upholstered or furnished
Apartment Sint-Jacobsplaats 80,3011 DD Rotterdam (Stadsdriehoek),"€1,850 per month",104 m²/4 rooms/Upholstered or furnished,104 m²,4 rooms,Upholstered or furnished
Apartment Helmersstraat,3071 AD Rotterdam (Kop van Zuid - Entrepot),"€1,750 per month",97 m²/3 rooms/Furnished,97 m²,3 rooms,Furnished
Apartment Noordsingel 216 B,3032 BM Rotterdam (Agniesebuurt),"€1,600 per month",90 m²/4 rooms/Upholstered,90 m²,4 rooms,Upholstered
Apartment Blokmakersstraat 11 A,3025 NA Rotterdam (Bospolder),"€1,500 per month",68 m²/3 rooms/Furnished,68 m²,3 rooms,Furnished
House Catharinastraat,3061 LC Rotterdam (Kralingen West),"€2,700 per month",145 m²/5 rooms/Upholstered,145 m²,5 rooms,Upholstered
Apartment Aalscholverstraat,3082 ZB Rotterdam (Oud Charlois),"€1,195 per month",98 m²/4 rooms/Upholstered,98 m²,4 rooms,Upholstered
Apartment Veerlaan,3072 ZX Rotterdam (Katendrecht),"€1,750 per month",72 m²/3 rooms/Furnished,72 m²,3 rooms,Furnished
Apartment Hebronstraat,3061 KC Rotterdam (Kralingen West),"€1,195 per month",75 m²/4 rooms/1938,75 m²,4 rooms,1938
Apartment Kritostraat,3076 BH Rotterdam (Lombardijen),"€1,495 per month",70 m²/4 rooms/Upholstered,70 m²,4 rooms,Upholstered
Apartment Librijesteeg 289,3011 HN Rotterdam (Stadsdriehoek),"€3,500 per month",180 m²/4 rooms/2001-2010,180 m²,4 rooms,2001-2010
Apartment Stuart Millstraat,3076 RL Rotterdam (Lombardijen),"€1,300 per month",87 m²/3 rooms/1965,87 m²,3 rooms,1965
Apartment Libellenstraat,3061 VE Rotterdam (Kralingen West),"€1,075 per month",59 m²/2 rooms/Upholstered,59 m²,2 rooms,Upholstered
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Prins Frederik Hendrikstraat 89,3051 EP Rotterdam (Hillegersberg Zuid),"€1,750 per month",84 m²/4 rooms/Upholstered,84 m²,4 rooms,Upholstered
Apartment Grotemarkt,3011 PA Rotterdam (Stadsdriehoek),"€2,250 per month",110 m²/2 rooms/Furnished,110 m²,2 rooms,Furnished
Apartment Blokweg,3074 RJ Rotterdam (Hillesluis),"€1,495 per month",120 m²/4 rooms/Upholstered,120 m²,4 rooms,Upholstered
Apartment Weena,3013 CA Rotterdam (Stadsdriehoek),"€1,495 per month",54 m²/2 rooms/Furnished,54 m²,2 rooms,Furnished
Apartment Argonautenweg,3054 RP Rotterdam (Hillegersberg Noord),"€1,800 per month",71 m²/3 rooms/Furnished,71 m²,3 rooms,Furnished
Apartment Vlietlaan,3061 DV Rotterdam (Kralingen West),"€1,295 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Bierstraat,3011 XA Rotterdam (Stadsdriehoek),"€1,725 per month",86 m²/3 rooms/Furnished,86 m²,3 rooms,Furnished
Apartment Essenburgsingel 3 B03,3021 AL Rotterdam (Middelland),"€2,250 per month",130 m²/5 rooms/Upholstered or furnished,130 m²,5 rooms,Upholstered or furnished
Apartment Graaf Balderikstraat,3032 HD Rotterdam (Oude Noorden),"€1,250 per month",42 m²/2 rooms/Furnished,42 m²,2 rooms,Furnished
House Koolzaadstraat 30,3073 DJ Rotterdam (Bloemhof),"€1,650 per month",94 m²/4 rooms/Upholstered,94 m²,4 rooms,Upholstered
Apartment Schiedamseweg,3025 AR Rotterdam (Tussendijken),"€1,050 per month",55 m²/2 rooms/1952,55 m²,2 rooms,1952
Apartment Houtlaan,3016 DA Rotterdam (Nieuwe Werk),"€2,595 per month",91 m²/3 rooms/Upholstered,91 m²,3 rooms,Upholstered
Apartment Schinkelstraat,3061 MN Rotterdam (Kralingen West),"€1,600 per month",71 m²/3 rooms/2000,71 m²,3 rooms,2000
Apartment Nieuwe Binnenweg,3015 BH Rotterdam (Oude Westen),"€1,850 per month",110 m²/4 rooms/Furnished,110 m²,4 rooms,Furnished
Apartment Zwaluwstraat,3082 MK Rotterdam (Oud Charlois),"€1,195 per month",50 m²/3 rooms/Upholstered,50 m²,3 rooms,Upholstered
Apartment Hilledijk 206 a 01,3074 GB Rotterdam (Hillesluis),"€1,350 per month",85 m²/4 rooms/Upholstered,85 m²,4 rooms,Upholstered
Apartment Groene Hilledijk 187 a,3073 AC Rotterdam (Bloemhof),€850 per month,93 m²/2 rooms/1926,93 m²,2 rooms,1926
Apartment Landverhuizersplein,3072 MH Rotterdam (Kop van Zuid),"€2,600 per month",115 m²/3 rooms/Furnished,115 m²,3 rooms,Furnished
House Heemraadssingel,3023 CD Rotterdam (Nieuwe Westen),"€2,650 per month",112 m²/3 rooms/Upholstered,112 m²,3 rooms,Upholstered
Apartment Balkenstraat,3027 GA Rotterdam (Spangen),"€1,495 per month",78 m²/4 rooms/Upholstered,78 m²,4 rooms,Upholstered
